"filename", "language", "Python", "Ini", "JSON", "Markdown", "YAML", "Properties", "comment", "blank", "total"
"d:\projetos\sd-gen-backend\api\api_auth.py", "Python", 98, 0, 0, 0, 0, 0, 0, 21, 119
"d:\projetos\sd-gen-backend\api\api_core.py", "Python", 51, 0, 0, 0, 0, 0, 4, 19, 74
"d:\projetos\sd-gen-backend\api\api_folders.py", "Python", 65, 0, 0, 0, 0, 0, 0, 7, 72
"d:\projetos\sd-gen-backend\api\api_models.py", "Python", 52, 0, 0, 0, 0, 0, 0, 7, 59
"d:\projetos\sd-gen-backend\api\api_plans.py", "Python", 92, 0, 0, 0, 0, 0, 0, 10, 102
"d:\projetos\sd-gen-backend\api\api_roles.py", "Python", 70, 0, 0, 0, 0, 0, 0, 7, 77
"d:\projetos\sd-gen-backend\api\api_users.py", "Python", 111, 0, 0, 0, 0, 0, 0, 9, 120
"d:\projetos\sd-gen-backend\api\api_users_folder.py", "Python", 80, 0, 0, 0, 0, 0, 0, 10, 90
"d:\projetos\sd-gen-backend\api\api_users_images.py", "Python", 232, 0, 0, 0, 0, 0, 3, 21, 256
"d:\projetos\sd-gen-backend\api\api_users_model.py", "Python", 28, 0, 0, 0, 0, 0, 0, 4, 32
"d:\projetos\sd-gen-backend\api\utils.py", "Python", 105, 0, 0, 0, 0, 0, 4, 21, 130
"d:\projetos\sd-gen-backend\config copy.ini", "Ini", 0, 20, 0, 0, 0, 0, 0, 5, 25
"d:\projetos\sd-gen-backend\config.ini", "Ini", 0, 32, 0, 0, 0, 0, 0, 7, 39
"d:\projetos\sd-gen-backend\config_core.py", "Python", 23, 0, 0, 0, 0, 0, 8, 9, 40
"d:\projetos\sd-gen-backend\crypto_dash\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projetos\sd-gen-backend\crypto_dash\crypto_core.py", "Python", 28, 0, 0, 0, 0, 0, 0, 8, 36
"d:\projetos\sd-gen-backend\docker\docker-compose.yml", "YAML", 0, 0, 0, 0, 39, 0, 0, 7, 46
"d:\projetos\sd-gen-backend\docker\nginx.conf", "Properties", 0, 0, 0, 0, 0, 33, 66, 36, 135
"d:\projetos\sd-gen-backend\functions_core.py", "Python", 62, 0, 0, 0, 0, 0, 6, 12, 80
"d:\projetos\sd-gen-backend\main.py", "Python", 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\projetos\sd-gen-backend\mongo\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projetos\sd-gen-backend\mongo\functions\folder_functions.py", "Python", 125, 0, 0, 0, 0, 0, 0, 15, 140
"d:\projetos\sd-gen-backend\mongo\functions\image_functions.py", "Python", 15, 0, 0, 0, 0, 0, 0, 3, 18
